City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Nantucket,US,2022-08-17 15:17:39,41.2835,-70.0995,296.23,60,100,7.72
258,Kidal,ML,2022-08-17 15:21:42,18.4411,1.4078,309.69,30,77,7.04
259,Dragor,DK,2022-08-17 15:21:42,55.5946,12.6664,301.58,71,100,2.57
260,Nuuk,GL,2022-08-17 15:20:50,64.1835,-51.7216,279.49,81,75,1.54
261,Antalaha,MG,2022-08-17 15:21:43,-14.9003,50.2788,295.06,79,1,5.25
262,Benguela,AO,2022-08-17 15:21:44,-12.5763,13.4055,296.06,74,40,4.33
263,Mersin,TR,2022-08-17 15:21:44,36.862,34.6509,303.46,64,0,4.91
264,Paramaribo,SR,2022-08-17 15:21:45,5.8667,-55.1667,305.1,66,40,3.09
265,Velizh,RU,2022-08-17 15:21:46,55.6056,31.1967,299.75,55,46,2.45
266,Cabinda,AO,2022-08-17 15:21:47,-5.55,12.2,297.3,72,38,4.18
267,Abalak,RU,2022-08-17 15:21:47,58.1286,68.5944,281.46,86,91,3.73
268,Bereda,ES,2022-08-17 15:21:48,43.2686,-7.5406,292.91,67,98,2.72
269,Nouadhibou,MR,2022-08-17 15:21:49,20.931,-17.0347,301.14,61,18,9.26
270,Odienne,CI,2022-08-17 15:21:49,9.51,-7.5692,298.36,85,90,1.98
271,Manturovo,RU,2022-08-17 15:21:50,58.3353,44.7619,296.81,61,28,1.81
272,Tshikapa,CD,2022-08-17 15:22:51,-6.4167,20.8,309.2,19,57,2.09
273,Oistins,BB,2022-08-17 15:22:51,13.0667,-59.5333,303.2,70,75,7.2
274,Mahajanga,MG,2022-08-17 15:22:52,-15.7167,46.3167,297.16,88,20,3.09
275,Dudinka,RU,2022-08-17 15:22:52,69.4058,86.1778,286.8,58,14,6.32
276,Komarikhinskiy,RU,2022-08-17 15:22:53,58.0979,57.1163,288.58,75,98,2.29
277,Ziway,ET,2022-08-17 15:22:54,7.9333,38.7167,295.49,62,99,7.06
278,Malakal,SS,2022-08-17 15:22:54,9.5334,31.6605,296.82,93,100,1.07
279,Kargopol,RU,2022-08-17 15:22:55,61.5071,38.9456,298.29,53,18,1.73
280,Sarlat-La-Caneda,FR,2022-08-17 15:22:55,44.889,1.2166,297.91,46,82,3.02
281,Tonj,SS,2022-08-17 15:22:56,7.2737,28.6822,298.66,79,99,1.09
282,Barcelos,PT,2022-08-17 15:21:14,41.5388,-8.6151,298.66,45,96,7.46
283,Tres Arroyos,AR,2022-08-17 15:22:58,-38.3739,-60.2798,283.96,42,0,7.47
284,Mao,ES,2022-08-17 15:22:59,39.8885,4.2658,303.46,58,40,4.12
