,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
202,Itarema,BR,77.9,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Gat,IL,80.40200000000007,clear sky,31.61,34.7642,OlusHome
206,Barra Do Garcas,BR,76.11800000000008,clear sky,-15.89,-52.2567,Pousada Tropical
212,Ugento,IT,79.46600000000001,clear sky,39.9263,18.1574,Porta Paradiso
213,Dingle,PH,80.02400000000002,light rain,10.9995,122.6711,SEGAYA PROPERTY
216,Road Town,VG,84.23600000000008,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
221,Iranshahr,IR,88.37600000000009,broken clouds,27.2025,60.6848,نیک سرشت
223,Shelburne,CA,75.99199999999999,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
224,Oistins,BB,80.69000000000003,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
226,Maur,IN,80.18600000000006,broken clouds,30.0833,75.25,sanju tee sotall
227,Ocala,US,85.98200000000003,thunderstorm,29.1872,-82.1401,Shangri La Motel
228,Jalu,LY,80.43800000000005,clear sky,29.0331,21.5482,صاحبة الفخامة
234,Santo Domingo,DO,81.03200000000001,scattered clouds,18.5001,-69.9886,Cabañas City Heart
235,Marzuq,YE,80.99600000000005,overcast clouds,14.4,46.4667,حيد القفلة
243,Capreol,CA,75.66800000000009,broken clouds,46.706,-80.9225,
246,Filingue,NE,79.75400000000005,broken clouds,14.3521,3.3168,
249,Mozarlandia,BR,80.34800000000003,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
253,Codajas,BR,79.37600000000009,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
258,Contai,IN,80.09600000000006,overcast clouds,21.7786,87.7536,PATHFINDER
259,Goundam,ML,86.25200000000008,overcast clouds,16.4145,-3.6708,
260,Ardakan,IR,76.26200000000006,clear sky,32.31,54.0175,Ardakan Hotel
265,Djibo,BF,80.29400000000007,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
267,Kidal,ML,88.44800000000004,few clouds,18.4411,1.4078,
271,Saint-Ambroise,CA,80.42000000000007,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
274,Andros,GR,81.15800000000002,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
275,Nara,JP,79.97000000000006,light rain,34.6851,135.8049,Guesthouse Nara Komachi
281,Abonnema,NG,75.092,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
282,Tipitapa,NI,83.19200000000001,few clouds,12.1973,-86.0971,Hotel Entre Rios
283,Tiznit,MA,87.18800000000005,broken clouds,29.5833,-9.5,
286,Fort Walton Beach,US,85.98200000000003,broken clouds,30.4058,-86.6188,Best Western Ft. Walton Beachfront
294,Veraval,IN,80.18600000000006,light rain,20.9,70.3667,Lords Inn Somnath
295,Front Royal,US,80.56400000000004,clear sky,38.9182,-78.1944,Hampton Inn Front Royal
