,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
102,Saint George,37.1041,-113.5841,309.48,27,0,6.17,clear sky,US,2022-08-20 23:52:29
103,Abu Samrah,35.3029,37.1841,297.26,70,6,3.34,clear sky,SY,2022-08-20 23:54:35
104,Monte Azul,-15.155,-42.8747,290.74,81,39,5.3,scattered clouds,BR,2022-08-20 23:54:36
105,Dhidhdhoo,6.8833,73.1,300.84,77,98,6.24,overcast clouds,MV,2022-08-20 23:54:37
106,Lethem,3.3803,-59.7968,299.92,70,83,1.02,broken clouds,GY,2022-08-20 23:54:37
107,Quatre Cocos,-20.2078,57.7625,295.21,73,41,6.17,light rain,MU,2022-08-20 23:54:38
108,Yabrud,33.9674,36.6574,293.34,51,1,1.23,clear sky,SY,2022-08-20 23:54:38
109,Urumqi,43.801,87.6005,286.68,44,0,1.0,clear sky,CN,2022-08-20 23:50:17
110,Vardo,70.3705,31.1107,288.49,88,60,7.09,broken clouds,NO,2022-08-20 23:54:39
111,Sur,22.5667,59.5289,304.84,55,82,3.29,broken clouds,OM,2022-08-20 23:54:40
112,Igarka,67.4667,86.5833,277.77,73,50,4.66,scattered clouds,RU,2022-08-20 23:54:41
113,Chake Chake,-5.2459,39.7666,295.27,83,21,3.91,few clouds,TZ,2022-08-20 23:54:41
114,Hukuntsi,-24.0,21.75,281.08,42,0,3.9,clear sky,BW,2022-08-20 23:54:42
115,Cidreira,-30.1811,-50.2056,286.84,76,0,6.98,clear sky,BR,2022-08-20 23:54:43
116,Ostrovnoy,68.0531,39.5131,291.0,78,16,7.69,few clouds,RU,2022-08-20 23:54:43
117,Businga,3.3333,20.8833,294.01,97,47,0.47,scattered clouds,CD,2022-08-20 23:54:44
118,Lebu,-37.6167,-73.65,284.23,89,44,9.3,scattered clouds,CL,2022-08-20 23:48:55
119,Gorom-Gorom,14.4439,-0.2361,299.5,68,97,3.51,overcast clouds,BF,2022-08-20 23:54:45
120,Gamba,-2.65,10.0,294.98,91,43,1.13,scattered clouds,GA,2022-08-20 23:50:12
121,Baijiantan,45.6333,85.1833,291.8,42,78,1.8,broken clouds,CN,2022-08-20 23:54:46
122,Oud-Beijerland,51.8242,4.4125,291.47,80,20,3.09,few clouds,NL,2022-08-20 23:54:47
123,Mayumba,-3.432,10.6554,294.48,92,19,1.28,few clouds,GA,2022-08-20 23:54:48
124,Kamenka,51.3223,42.7678,292.94,23,100,6.86,overcast clouds,RU,2022-08-20 23:54:48
125,Kalevala,65.2,31.1667,289.33,75,14,2.79,few clouds,RU,2022-08-20 23:54:49
126,Otjimbingwe,-22.35,16.1333,286.84,20,37,4.08,scattered clouds,NA,2022-08-20 23:54:49
127,Muisne,0.6,-80.0333,296.29,83,100,3.6,overcast clouds,EC,2022-08-20 23:54:50
128,Sorland,67.667,12.6934,285.07,99,100,3.06,overcast clouds,NO,2022-08-20 23:54:51
129,Sivas,39.7916,37.0019,288.74,86,1,1.09,clear sky,TR,2022-08-20 23:54:51
130,San Borja,-14.8167,-66.85,288.28,56,1,1.28,clear sky,BO,2022-08-20 23:54:52
131,Kutum,14.2,24.6667,294.19,74,95,4.49,overcast clouds,SD,2022-08-20 23:54:52
132,Keti Bandar,24.1447,67.4497,300.41,85,100,5.74,overcast clouds,PK,2022-08-20 23:54:53
133,Goianesia,-15.3175,-49.1175,295.95,33,50,2.65,scattered clouds,BR,2022-08-20 23:54:54
134,San Cristobal,7.7669,-72.225,298.25,96,100,1.85,overcast clouds,VE,2022-08-20 23:54:54
135,Pisco,-13.7,-76.2167,289.18,82,0,6.69,clear sky,PE,2022-08-20 23:54:38
136,Yafran,32.0633,12.5286,294.67,54,0,2.63,clear sky,LY,2022-08-20 23:55:55
137,Phalaborwa,-23.943,31.1411,288.75,55,3,8.38,clear sky,ZA,2022-08-20 23:55:56
138,Touros,-5.1989,-35.4608,296.61,78,82,7.04,broken clouds,BR,2022-08-20 23:54:13
139,Svetlogorsk,52.6333,29.7333,289.37,77,88,4.0,overcast clouds,BY,2022-08-20 23:55:57
140,Knysna,-34.0363,23.0471,281.98,83,28,2.44,scattered clouds,ZA,2022-08-20 23:55:57
141,Codrington,-38.2667,141.9667,282.18,68,18,5.48,few clouds,AU,2022-08-20 23:55:58
142,Potosi,-19.5836,-65.7531,278.18,20,2,1.91,clear sky,BO,2022-08-20 23:55:59
143,Tortoli,39.9256,9.6572,295.61,70,0,2.72,clear sky,IT,2022-08-20 23:55:59
144,San Rafael,-34.6177,-68.3301,288.52,23,74,3.19,broken clouds,AR,2022-08-20 23:56:00
145,Hamilton,39.1834,-84.5333,299.0,83,100,5.14,mist,US,2022-08-20 23:49:00
146,Mahebourg,-20.4081,57.7,295.31,68,75,5.14,broken clouds,MU,2022-08-20 23:56:01
147,Kedrovyy,56.1667,91.8167,284.38,98,100,3.24,overcast clouds,RU,2022-08-20 23:56:01
148,Harper,4.375,-7.7169,296.91,83,77,3.27,broken clouds,LR,2022-08-20 23:56:02
149,Busselton,-33.65,115.3333,286.53,75,100,1.88,overcast clouds,AU,2022-08-20 23:49:04
150,Carutapera,-1.195,-46.02,298.8,82,78,3.23,broken clouds,BR,2022-08-20 23:56:03
151,Coihaique,-45.5752,-72.0662,280.12,93,75,1.54,broken clouds,CL,2022-08-20 23:51:59
152,Bonavista,48.6499,-53.1147,288.7,87,91,7.19,overcast clouds,CA,2022-08-20 23:56:04
153,Bluefield,37.2698,-81.2223,296.52,87,100,1.41,overcast clouds,US,2022-08-20 23:56:05
154,Sao Joao Da Barra,-21.6403,-41.0511,291.94,63,97,5.82,overcast clouds,BR,2022-08-20 23:50:02
155,Victoria,22.2855,114.1577,302.57,89,91,3.58,overcast clouds,HK,2022-08-20 23:46:52
156,Skibbereen,51.55,-9.2667,288.77,94,94,2.15,overcast clouds,IE,2022-08-20 23:50:00
157,La Rioja,42.25,-2.5,291.03,69,90,1.87,overcast clouds,ES,2022-08-20 23:56:06
158,Arraial Do Cabo,-22.9661,-42.0278,292.27,57,100,5.12,overcast clouds,BR,2022-08-20 23:48:58
159,Zavallya,48.2135,30.0156,294.94,70,88,2.48,overcast clouds,UA,2022-08-20 23:56:07
160,Eyl,7.9803,49.8164,297.84,85,100,8.76,overcast clouds,SO,2022-08-20 23:56:08
161,Lusambo,-4.9667,23.45,295.59,74,83,1.31,broken clouds,CD,2022-08-20 23:56:09
162,Lithakia,37.7167,20.8333,298.8,74,0,9.06,clear sky,GR,2022-08-20 23:56:09
163,Marevo,57.3146,32.0804,289.18,70,69,4.14,broken clouds,RU,2022-08-20 23:56:10
164,Kupino,54.3663,77.2981,287.03,62,91,3.05,overcast clouds,RU,2022-08-20 23:56:10
165,Lasa,46.6166,10.7002,287.42,95,24,2.65,few clouds,IT,2022-08-20 23:56:11
166,Dwarka,22.2394,68.9678,300.15,84,100,7.63,overcast clouds,IN,2022-08-20 23:49:55
167,Varkkallai,8.7341,76.7067,299.03,90,100,3.22,overcast clouds,IN,2022-08-20 23:56:12
168,Ancud,-41.8697,-73.8203,282.13,92,62,2.1,broken clouds,CL,2022-08-20 23:56:13
169,Markdale,44.3168,-80.6497,297.98,80,100,1.07,overcast clouds,CA,2022-08-20 23:56:13
170,Finnsnes,69.2296,17.9811,289.68,98,100,1.06,light rain,NO,2022-08-20 23:56:14
171,Grindavik,63.8424,-22.4338,281.12,81,20,8.23,few clouds,IS,2022-08-20 23:51:43
172,Caravelas,-17.7125,-39.2481,293.77,84,33,5.04,scattered clouds,BR,2022-08-20 23:56:15
173,Matay,28.419,30.7792,302.36,37,0,3.13,clear sky,EG,2022-08-20 23:56:16
174,Saint-Pierre,-21.3393,55.4781,293.97,64,75,3.09,broken clouds,RE,2022-08-20 23:53:27
175,Taltal,-25.4,-70.4833,286.44,84,23,1.16,few clouds,CL,2022-08-20 23:56:17
176,Buritis,-15.6178,-46.4233,294.83,52,21,4.39,few clouds,BR,2022-08-20 23:56:17
177,Sakakah,29.9697,40.2064,303.91,18,0,4.29,clear sky,SA,2022-08-20 23:56:18
178,Mabaruma,8.2,-59.7833,297.79,87,78,1.72,broken clouds,GY,2022-08-20 23:56:19
179,Eenhana,-17.4667,16.3333,284.1,25,25,3.51,scattered clouds,NA,2022-08-20 23:56:19
180,Panama City,8.9936,-79.5197,302.12,82,75,3.09,broken clouds,PA,2022-08-20 23:54:22
181,Moyale,3.5167,39.0584,294.09,53,56,5.88,broken clouds,KE,2022-08-20 23:56:20
182,Utete,-7.986,38.758,292.36,95,2,1.25,clear sky,TZ,2022-08-20 23:56:21
183,Amapa,1.0,-52.0,296.07,96,97,1.02,overcast clouds,BR,2022-08-20 23:56:22
184,San Francisco,37.7749,-122.4194,307.77,75,20,8.49,few clouds,US,2022-08-20 23:54:47
185,Barra Patuca,15.8,-84.2833,299.95,85,100,3.11,overcast clouds,HN,2022-08-20 23:57:23
186,Warmbad,-28.45,18.7333,282.27,52,0,2.79,clear sky,NA,2022-08-20 23:57:23
187,Parabel,58.6978,81.4825,281.82,94,100,5.25,overcast clouds,RU,2022-08-20 23:57:24
188,Albany,42.6001,-73.9662,302.51,62,63,1.93,broken clouds,US,2022-08-20 23:46:15
189,Sao Filipe,14.8961,-24.4956,298.56,85,100,0.66,light rain,CV,2022-08-20 23:57:25
190,Kashan,33.9831,51.4364,299.92,8,0,1.03,clear sky,IR,2022-08-20 23:57:26
191,Ambilobe,-13.2,49.05,290.72,84,49,1.88,scattered clouds,MG,2022-08-20 23:57:26
192,Waw,7.7029,27.9953,292.39,95,41,1.35,scattered clouds,SS,2022-08-20 23:57:27
193,Thompson,55.7435,-97.8558,301.24,39,40,6.17,scattered clouds,CA,2022-08-20 23:57:28
194,Margate,51.3813,1.3862,289.43,85,7,0.89,clear sky,GB,2022-08-20 23:49:01
195,Cayenne,4.9333,-52.3333,299.17,89,20,1.03,few clouds,GF,2022-08-20 23:45:28
196,Kemi,65.8596,24.8228,294.02,64,0,6.17,clear sky,FI,2022-08-20 23:57:29
197,Berlevag,70.8578,29.0864,294.12,78,20,9.26,few clouds,NO,2022-08-20 23:57:29
198,Progreso,21.2833,-89.6667,299.88,84,15,5.54,few clouds,MX,2022-08-20 23:57:30
199,Grand Gaube,-20.0064,57.6608,295.37,71,27,1.79,scattered clouds,MU,2022-08-20 23:57:35
200,Jijiga,9.35,42.8,292.28,63,97,7.7,overcast clouds,ET,2022-08-20 23:57:36
